nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,g_tname,dpl_tname,gpt_tname,translation_flag,type_error,Notes,Niche/uncommon name/spelling error/abbreviation
pt,10150.0,Misto de culturas permanentes,Mixed permanent crops,3330000000,permanent_crops_perennial,Mix of permanent crops,Mixed permanent crops,Mixed Permanent Crops,1,,,
pt,10151.0,NABICA,Turnip greens,3310715050,turnips,NABICA,NABICA,Turnip Greens,0,3,nabiça can also be brassica napus,3
pt,10154.0,NESPERA,Loquat (Nespera),3330108000,medlar_loquat,NESPERA,Hopeless,Loquat,0,3,Nêspera,3
pt,10157.0,OLIVAL,OLIVE VALLEY,3330500000,olive,OLIVAL,OLIVAL,Olive Grove,0,3,Olive grove,1
pt,10165.0,OUTRAS_CULTURAS_PERMANENTES,Other permanent crops,3330000000,permanent_crops_perennial,OTHER_PERMANENT_CROPS,OTHER_PERMANENT_CROPS,Other Permanent Crops,1,,,
pt,10166.0,OUTRAS_FRUTOS_FRESCOS,OTHER FRESH FRUIT,3330100000,orchards_fruits,OTHER_FRESH_FRUITS,OTHER_FRESH_FRUITS,Other Fresh Fruits,1,,,
pt,10167.0,OUTRAS_HORTICOLAS,OTHER HORTICULTURAL CROPS,3310000000,arable_crops,OTHER_HORTICOS,OTHER VEGETABLES,Other Vegetables,0,1,,
pt,10168.0,OUTRAS_LEGUMINOSAS_SECAS,OTHER_DRY_LEGUMES,3310200000,legumes,OTHER_DRY_LEGUMES,OTHER_DRY_LEGUMES,OTHER_DRY_LEGUMES,1,,,
pt,10169.0,OUTRAS_OLEAGINOSAS,OTHER OILSEEDS,3310604000,oilseed_crops,OTHER_OILSEEDS,OTHER_OILSEEDS,Other Oilseeds,1,,,
pt,10170.0,OUTRAS_SUPERFICIES_FLORESTAIS,OTHER FOREST SURFACES,3360000000,tree_wood_forest,OTHER_FOREST_SUPERFICIES,OTHER_FOREST_AREAS,Other Forest Areas,1,,,
pt,10176.0,OUTROS_CEREAIS,OTHER CEREALS,3310198000,unspecified_cereals,OTHER_CEREALS,OTHER_CEREALS,Other Cereals,1,,,
pt,10177.0,OUTROS_CITRINOS,OTHER CITRUS FRUIT,3330400000,citrus,OTHER_CITRUS,OTHER_CITRUS FRUITS,Other Citrus Fruits,1,,,
pt,10178.0,OUTROS_FRUTOS_SECOS,Other Dried Fruits,3330100000,orchards_fruits,OTHER_DRY_FRUIT,OTHER_DRY_FRUITS,Other Nuts,0,1,,
pt,10179.0,OUTROS_FRUTOS_SUB-TROPICAIS,OTHER SUB-TROPICAL FRUITS,3330100000,orchards_fruits,OTHER_SUB-TROPICAL_FRUITS,OTHER SUBTROPICAL FRUITS,Other Subtropical Fruits,1,,,
pt,10180.0,OUTROS_PEQUENOS_FRUTOS,OTHER SMALL FRUITS,3330200000,berries_berry_species,OTHERS_SMALL_FRUITS,OTHER_SMALL_FRUITS,Other Berries,1,,,
pt,10181.0,Ocupação por classificar,Unclassified occupation,3390000000,not_known_and_other,Occupation to classify,Occupation to be classified,Occupation to Be Classified,1,,,
pt,10182.0,Olival,OLIVE VALLEY,3330500000,olive,olive grove,Olival,Olive Grove,0,1,,
pt,10183.0,Outras Superfícies,Other areas,3390000000,not_known_and_other,Other Surfaces,Other Surfaces,Other Areas,1,,,
pt,10184.0,Outras culturas permanentes,Other permanent crops,3330000000,permanent_crops_perennial,Other permanent crops,Other permanent crops,Other Permanent Crops,1,,,
pt,10189.0,PASTAGENS_ARBUSTIVAS,PASTURE WITH BUSHES,3320100000,permanent_grassland,ARBUSTIVE_PASTURES,SHRUBBY PASTURES,Shrub Pastures,1,,,
pt,10190.0,PASTAGENS_PERMANENTES,PERMANENT PASTURES,3320100000,permanent_grassland,PERMANENT_PASTURES,PERMANENT PASTURES,Permanent Pastures,1,,,
pt,10193.0,PESSEGO,PEACH,3330111000,peach,PEACH,PESSEGO,Peach,0,1,,
pt,10195.0,PINHAO,PINE NUTS,3360900000,conifers,PINION,Pineapple,Pine Nut,0,3,"Pinhão, pine nuts",3
pt,10199.0,PLANTAS_AROM_MEDICINAIS_E_CONDIMENTARES,AROM. MEDICINAL AND CONDIMENTAL PLANTS,3310612000,aromatic_medicinal_culinary_plants_spices_herbs,PLANTAS_AROM_MEDICINAL_E_CONDIMENTARES,"AROMATIC, MEDICINAL, AND SPICE PLANTS","Aromatic, Medicinal and Condiment Plants",0,1,,
pt,102.0,OUTROS FRUTOS SUB-TROPICAIS,OTHER SUB-TROPICAL FRUITS,3330100000,orchards_fruits,OTHER SUB-TROPICAL FRUITS,OTHER SUBTROPICAL FRUITS,Other Subtropical Fruits,1,,,
pt,10209.0,POVOAMENTO FLORESTAL MISTO,Mixed forest planting,3360000000,tree_wood_forest,MIXED FOREST STANDING,MIXED FOREST STAND,Mixed Forest Stand,1,,,
pt,10213.0,POVOAMENTO_AZINHEIRAS,EVERGREEN OAK PLANTATION,3360600000,oak,POVOAMENTO_AZINHEIRAS,POPULATION_HOLM OAKS,Holm Oak Stand,0,1,,
pt,10214.0,POVOAMENTO_CARVALHO_NEGRAL,BLACK OAK NEGRAL PLANTATION,3360600000,oak,POVOAMENTO_CARVALHO_NEGRAL,BLACK OAK FOREST,Pyrenean Oak Stand,0,1,,
pt,10215.0,POVOAMENTO_CASTANHEIRO,CHESTNUT PLANTATION,3330305000,sweet_chestnuts,POVOAMENTO_CASTANHEIRO,CHESTNUT GROVE,Chestnut Stand,0,1,,
pt,10216.0,POVOAMENTO_DE_EUCALIPTO,EUCALYPTUS PLANTATION,3360500000,eucalyptus,PEOPLE_OF_EUCALIPTO,EUCALYPTUS PLANTATION,Eucalyptus Stand,0,1,,
pt,10217.0,POVOAMENTO_DE_PINHEIRO_MANSO,PINE TREES PLANTATION,3360900000,conifers,POVOAMENTO_DE_PINHEIRO_MANSO,POPULATION_OF_PINHEIRO_MANSO,Stone Pine Stand,0,3,Italian stone pine,1
pt,10218.0,POVOAMENTO_DE_SOBREIROS,CORK OAK PLANTATION,3360600000,oak,POVOAMENTO_DE_SOBREIROS,CORK OAK FOREST,Cork Oak Stand,0,1,,
pt,10219.0,POVOAMENTO_F_MISTO,MIXED Forest,3360000000,tree_wood_forest,MIXED_F_Settlement,MIXED_POPULATION_F,Mixed Broadleaf Forest Stand,0,3,"F possible stands for Folhoso, but mixed forest also works",4
pt,10220.0,POVOAMENTO_MISTO_QUERCUS_SOBAZENHCARVAL_NEGRAL,oak MIXED SETTLEMENT (UNDER AZENH.CARVAL/NEGRAL),3360600000,oak,POVOAMENTO_MISTO_QUERCUS_SOBAZENHCARVAL_NEGRAL,MIXED_FOREST_QUERCUS_SOBAZENHCARVAL_NEGRAL,"Mixed Stand of Quercus, Cork Oak and Pyrenean Oak",0,1,,
pt,10221.0,POVOAMENTO_OUTRAS_FOLHOSAS,OTHER HARDWOOD PLANTATION,3360000000,tree_wood_forest,SETTLEMENT_OTHER_LEAFLETS,POPULATION_OTHER_DECIDUOUS_TREES,Other Broadleaf Stands,0,1,,
pt,10222.0,POVOAMENTO_OUTRAS_RESINOSAS,OTHER CONIFEROUS FORESTS,3360900000,conifers,POVOAMENTO_OUTRAS_RESINOSAS,POPULATION_OTHER_RESINOUS TREES,Other Resinous Stands,0,1,,
pt,10223.0,PPE-AR: Prado e Pastagem Arbustiva,PPE-AR: Meadow and Shrubby Pasture,3320000000,grassland_grass,PPE-AR: Meadow and Shrub Pasture,PPE-AR: Meadow and Shrubby Pasture,PPE-AR: Shrub Meadow and Pasture,1,,,
pt,10224.0,PPE-MX: Pastagem Permanente em Sob Coberto Misto,PPE-MX: Permanent Pasture under Mixed Cover,3320100000,permanent_grassland,PPE-MX: Permanent Pasture under Mixed Cover,PPE-MX: Permanent Pasture under Mixed Cover,PPE-MX: Permanent Pasture under Mixed Cover,1,,,
pt,10225.0,PPE-OL: Pastagem Permanente em sob coberto de olival,PPE-OL: Permanent pasture under olive grove cover,3320100000,permanent_grassland,PPE-OL: Permanent Pasture under olive grove cover,PPE-OL: Permanent pasture under olive grove cover,PPE-OL: Permanent Pasture under Olive Grove Cover,1,,,
pt,10226.0,PPE-PL: Prado e Pastagem Permanente Prática Local,PPE-PL: Meadow and Permanent Pasture Local Practice,3320100000,permanent_grassland,PPE-PL: Local Practice Permanent Meadow and Pasture,PPE-PL: Pasture and Permanent Pasture Local Practice,PPE-PL: Meadow and Permanent Pasture – Local Practice,1,,,
pt,10227.0,PPE-PM: Pastagem Permanente em Sob Coberto de Pinheiro Manso ou Castanheiro,PPE-PM: Permanent Pasture under Pine or Chestnut Cover,3320100000,permanent_grassland,PPE-PM: Permanent Pasture Under Stone Pine or Chestnut Cover,PPE-PM: Permanent Pasture under Cover of Stone Pine or Chestnut Trees,PPE-PM: Permanent Pasture under Stone Pine or Chestnut Cover,1,,,
pt,10228.0,PPE-PP: Prado e Pastagem Permanente,PPE-PP: Meadow and Permanent Pasture,3320100000,permanent_grassland,PPE-PP: Meadow and Permanent Pasture,PPE-PP: Meadow and Permanent Pasture,PPE-PP: Meadow and Permanent Pasture,1,,,
pt,10229.0,PPE-QU: Pastagem Permanente em Sob Coberto de Quercíneas,PPE-QU: Permanent Pasture under Quercine Cover,3320100000,permanent_grassland,PPE-QU: Permanent Pasture Under Cover of Quercineas,PPE-QU: Permanent Pasture Under Oak Trees,PPE-QU: Permanent Pasture under Oak Cover,1,,,
pt,10230.0,PRADOS TEMPORÁRIOS,TEMPORARY MEADOWS,3320200000,temporary_grassland,TEMPORARY MEADOWS,TEMPORARY MEADOWS,Temporary Meadows,1,,,
pt,10231.0,PRADOS_TEMPORARIOS,TEMPORARY MEADOWS,3320200000,temporary_grassland,TEMPORARY_MEDADOWS,TEMPORARY FIELDS,Temporary Meadows,1,,,
pt,10232.0,Pastagem Permanente,Permanent Pasture,3320100000,permanent_grassland,Permanent Pasture,Permanent Pasture,Permanent Pasture,1,,,
pt,10233.0,Pastagem Permanente Arbustiva,Shrubby permanent pasture,3320100000,permanent_grassland,Permanent Shrub Pasture,Permanent Shrub Pasture,Shrub Permanent Pasture,1,,,
pt,10234.0,Pastagem Permanente Prática Local,Permanent Local Pasture,3320100000,permanent_grassland,Local Practical Permanent Pasture,Permanent Pasture Local Practice,Permanent Pasture – Local Practice,1,,,
pt,10237.0,ROMA,POMEGRANATE,3330114000,pomegranate,POMEGRANATE,ROME,Pomegranate,0,1,,
pt,10239.0,RUTABAGA,Rutabaga,3310715070,swede_rutabaga,RUTABAGA,Potato,Rutabaga,0,1,,
pt,10243.0,SABUGUEIRO_BAGA,ELDERBERRY,3330804000,elder_elderberry,ELDERBERRY_BERRY,ELDERBERRY,Elderberry,1,,,
pt,10246.0,SOBREIRO_PARA_PRODUCAO_DE_CORTICA,CORK OAK FOR CORK PRODUCTION,3360600000,oak,SOBREIRO_PARA_PRODUCAO_DE_CORTICA,Cork for bark production,Cork Oak for Cork Production,0,1,,
pt,10249.0,SUPERFICIE_ARBUSTIVA_NAO_PASTOREAVEL,non-grazable shrub area,3330800000,shrubberries_shrubs,SUPERFICIE_ARBUSTIVA_NAO_PASTOREAVEL,Non-pasturable shrubland surface,Shrub Area Not Suitable for Grazing,0,1,,
pt,10251.0,Sobcoberto Misto,Mixed Cover Crop,3310000000,arable_crops,Mixed Undercover,Mixed Undercover,Mixed Understory,1,,,
pt,10252.0,Sobcoberto de Pinheiro Manso ou Castanheiro,Under cover of Stone Pine or Chestnut,3360000000,tree_wood_forest,Stone Pine or Chestnut Undercover,Undergrowth of Pinheiro Manso or Chestnut Tree,Stone Pine or Chestnut Understory,0,1,,
pt,10253.0,Sobcoberto de Quercíneas,Under cover of oak trees,3360600000,oak,Undercover of Quercineas,Under the cover of Quercíneas,Oak Understory,0,1,,
pt,10254.0,Sobreiros destinados à produção de cortiça,Cork oaks destined for cork production.,3360600000,oak,Cork oaks intended for cork production,Cork oak trees intended for cork production,Cork Oaks Intended for Cork Production,1,,,
pt,10255.0,Superfície com Vegetação Arbustiva,Surface with Shrub Vegetation,3330800000,shrubberries_shrubs,Surface with Shrub Vegetation,Surface with Shrub Vegetation,Area with Shrub Vegetation,1,,,
pt,10256.0,Superfície com árvores de espécie a identificar,Surface with trees of unidentified species,3360000000,tree_wood_forest,Surface with trees of species to be identified,Area with trees of species to be identified,Area with Trees of Unidentified Species,1,,,
pt,10257.0,Superfícies em produção não elegíveis,Ineligible production surfaces,3390000000,not_known_and_other,Ineligible production surfaces,Ineligible production areas,Non-Eligible Production Areas,1,,,
pt,10264.0,TREMOCO,LUPIN,3310201090,lupins,LUPINE,tremble,Lupin,0,1,,
pt,10270.0,Talude ou muro de suporte da vinha,Slope or vineyard support wall,3330600000,vineyards_wine_vine_rebland_grapes,Slope or support wall for the vineyard,Slope or retaining wall of the vineyard,Slope or Retaining Wall of the Vineyard,1,,,
pt,10272.0,VINHA,VINEYARD,3330600000,vineyards_wine_vine_rebland_grapes,VINEYARD,VINEYARD,Vineyard,1,,,
pt,10273.0,VIVEIROS,NURSERY,3330700000,nurseries_nursery,NURSERY,Nurseries,Nurseries,1,,,
pt,10274.0,Vias,Roads,3390000000,not_known_and_other,Ways,Ways,Roads,0,1,,
pt,10275.0,Vinha,Vineyards,3330600000,vineyards_wine_vine_rebland_grapes,vineyard,Vineyard,Vineyard,1,,,
pt,10276.0,Zonas Húmidas,Wetlands,3390000000,not_known_and_other,Wetlands,Wetlands,Wetlands,1,,,
pt,10277.0,Zonas Húmidas ou Turfeiras,Wetlands or Peatlands,3390000000,not_known_and_other,Wetlands or Peatlands,Wetlands or Peatlands,Wetlands or Peatlands,1,,,
pt,10278.0,Zonas de Protecção / Conservação,Protection / Conservation Zones,3390000000,not_known_and_other,Protection / Conservation Zones,Protection/Conservation Areas,Protection / Conservation Areas,1,,,
pt,10279.0,Área social,Social area,3390000000,not_known_and_other,Social area,Social area,Social Area,1,,,
pt,103.0,BATATA ,POTATO,3310300000,potatoes,POTATO,Potatoes ,Potato,1,,,
pt,105.0,MAÇÃ,APPLE,3330102000,apples,LITTER,APPLE,Apple,0,1,,
pt,106.0,CEREJA,CHERRY,3330104000,cherry_cherries,CHERRY,CHERRY,Cherry,1,,,
pt,107.0,DAMASCO,apricot,3330103000,apricots,DAMASCUS,DAMASCUS,Apricot,0,3,Fruit name shared with Damascus,1
pt,108.0,AMEIXA,PLUM,3330113000,plums,PLUM,Clam,Plum,0,1,,
pt,109.0,AMENDOA,ALMOND,3330301000,almond,ALMOND,Olive,Almond,0,1,,
pt,110.0,CASTANHA,CASTANIA,3330305000,sweet_chestnuts,BRUNETTE,Chestnut,Chestnut,0,1,,
pt,111.0,ALFARROBA,Carob (Algaroba),3330901000,carob,CAROB,CAROB,Carob,1,,,
pt,112.0,NOZ,NUT,3330300000,nuts,WALNUT,Night,Walnut,0,1,,
pt,114.0,VIME,"Willow (osier, for basketry)",3360800000,willows_osiers,WICKER,VIME,Wicker,0,3,"Wicker, not a plant name but the method of weaving",2
pt,115.0,CHA,Camellia sinensis,3330899000,other_shrubs,TEA,No,Tea,0,1,,
pt,116.0,AVELÃ,HAZELNUT,3330302000,hazelnuts_hazel,HAZELNUT,HAZELNUT,Hazelnut,1,,,
pt,117.0,OUTROS PEQUENOS FRUTOS,Other Berries,3330200000,berries_berry_species,OTHER SMALL FRUITS,OTHER SMALL FRUITS,Other Berries,0,1,,
pt,118.0,MARMELO,QUINCE,3330115000,quinces,QUINCE,Marmelade,Quince,0,1,,
pt,119.0,NÊSPERA,Loquat (Nespera),3330108000,medlar_loquat,MEDLAR,NÊSPERA,Loquat,0,1,,
pt,123.0,LIMA,Lime,3330499000,other_citrus,FILE,FIVE,Lime,0,3,Lime,1
